Title;Abstract;Authors;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Link;Author Keywords;Index Keywords;Publisher
An approach to perform automated functional testing in database-driven applications;This paper presents an approach to performing automated functional testing in database-driven application. The goal is to provide test scripts that check contents in databases after CRUD (create, retrieval, update, and delete) operations using a software application. Based on automation tools already developed that test graphical user interface (GUI) elements, new assert functions were proposed and implemented to check data in databases. An instantiation of the proposed approach is described extending the Selenium RC tool to perform automated tests in web applications checking data stored in the database. A case study is described to analyze the impact of the proposed approach in terms of effort and rate of automation in the testing for a database-driven application. The results suggest a significant reduction (91% and 88%) in the effort to execute automated tests in database when compared to, respectively, manual and semi-automated execution.;de Castro A.M.F.V., Fontão A., Dias-Neto A.C.;2014;CIBSE 2014: Proceedings of the 17th Ibero-American Conference Software Engineering;;;;233;246;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906056852&partnerID=40&md5=9caf27740388fc7413bb16b4792a9924;"Database testing; GUI testing; Software testing; Test automation";"Application programs; Automation; Graphical user interfaces; Software engineering; Software testing; Testing; Automated functional testing; Automation tools; Database testing; Graphical user interfaces (GUI); GUI testing; Software applications; Test Automation; WEB application; Database systems";Universidad de la Frontera
SAHI vs. Selenium: A comparative analysis;Functional testing for wireless based graphic user interfaces is one of the most routine and basic quality verification and validation on telecommunication products. These tests are often done based on requirements and specifications set and defined by product designers and original equipment manufacturers. As manual testing consumes considerable resource, having various time-to-market periods and user scenarios, automation is vital for testing. There are several tools that could perform automation, so we have conducted a study on two of the most commonly used web automation testing tools to allow test engineers and web and wireless software developers to make an informed decision on which tools to use based on their needs and resource. Which tool would give the best user experience? Which is easier to learn and maintain? Which tool needs lesser test resources and how convenient would the setup be for multiple iteration testing cycles? These, among other questions are answered during the course of this white paper © 2014 IEEE.;Naidu T.J., Basri N.A., Nagenthram S.;2014;Proceedings of 2014 International Conference on Contemporary Computing and Informatics, IC3I 2014;;;7019594;967;970;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949921894&doi=10.1109%2fIC3I.2014.7019594&partnerID=40&md5=c36ae2dca643f23d66b38220b08ae4a1;"Automation; Functional testing; Graphical user interface; SAHI; Selenium; Web; Wireless";"Automation; Graphical user interfaces; Radio; Selenium; Comparative analysis; Considerable resources; Functional testing; Graphic user interface; Multiple iterations; Original equipment manufacturers; Quality verification; SAHI; Software testing";Institute of Electrical and Electronics Engineers Inc.
Performance evaluation of web based automation testing tools;In today's 21st century era countless software applications are written as a web based application which runs in a web browsers. With new technologies and commercialization of I.T. sector, the web based system has undergoes frequent and rapid changes. Today Softwares are coded as a web based application, which help to access data from any part of the globe. Even the economic relevance of web based enhances the control and quality of software. The quality assurance of any system depends on its test. But to do manually testing in most of the cases is time consuming, expensive and hectic. For the better business purpose and to save time and money automation testing is required. There are variety of tools are available in the market for this. One of the best known tool is selenium suite which is a combination of different automation testing tool. In this paper we will discuss about the selenium suite. It provides testers with different framework for different test cases. The main objective of this paper is to find the best tool in selenium suite and then compare it with some other tool for same task. For this purpose, performance evaluation is done on the basis of some criteria. © 2014 IEEE.;Angmo R., Sharma M.;2014;Proceedings of the 5th International Conference on Confluence 2014: The Next Generation Information Technology Summit;;;6949287;731;735;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914141612&doi=10.1109%2fCONFLUENCE.2014.6949287&partnerID=40&md5=a5e9559eae1e4097423207a6e53cdaa9;"Automation testing; Performance; Selenium; Test case; Watir-webdriver; Web applications";"Application programs; Automation; Quality assurance; Quality control; Selenium; Web services; Websites; Automation testing; Performance; Test case; Watir-webdriver; WEB application; Web browsers";Institute of Electrical and Electronics Engineers Inc.
Prevalence and maintenance of automated functional tests for web applications;Functional testing requires executing particular sequences of user actions. Test automation tools enable scripting user actions such that they can be repeated more easily. SELENIUM, for instance, enables testing web applications through scripts that interact with a web browser and assert properties about its observable state. However, little is known about how common such tests are in practice. We therefore present a cross-sectional quantitative study of the prevalence of SELENIUM-based tests among open-source web applications, and of the extent to which such tests are used within individual applications. Automating functional tests also brings about the problem of maintaining test scripts. As the system under test evolves, its test scripts are bound to break. Even less is known about the way test scripts change over time. We therefore also present a longitudinal quantitative study of whether and for how long test scripts are maintained, as well as a longitudinal qualitative study of the kind of changes they undergo. To the former's end, we propose two new metrics based on whether a commit to the application's version repository touches a test file. To the latter's end, we propose to categorize the changes within each commit based on the elements of the test upon which they operate. As such, we are able to identify the elements of a test that are most prone to change. © 2014 IEEE.;Christophe L., Stevens R., De Roover C., De Meuter W.;2014;Proceedings - 30th International Conference on Software Maintenance and Evolution, ICSME 2014;;;6976080;141;150;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931075925&doi=10.1109%2fICSME.2014.36&partnerID=40&md5=e635ef0a658ba87bddc1f443bdd500cd;"Functional testing; Selenium; Test automation";"Open source software; Selenium; Functional test; Functional testing; Qualitative study; Quantitative study; System under test; Test Automation; Test automation tool; WEB application; Automation";Institute of Electrical and Electronics Engineers Inc.
Analysis and design of selenium webdriver automation testing framework;Nowadays, number of software system has been implemented as web-based applications. These web applications are very complex. It is very difficult to test such complex web applications. Automation testing uses automation tools to reduce human intervention and repeatable tasks. In this paper we have designed and implemented automation testing framework for testing web applications. This new automation testing framework has been implemented using selenium WebDriver tool. Using this framework tester can easily write their test cases efficiently and in less time. Tester need not to study the selenium webdriver tool in detail. This framework is helpful to developer to analyze their code due to screen shot property of framework. This framework produces the customized test report to tester. It is very easy to maintain and repair the test suite for new release of the application using this framework. © 2015 The Authors. Published by Elsevier B.V.;Gojare S., Joshi R., Gaigaware D.;2015;Procedia Computer Science;50;;;341;346;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937433268&doi=10.1016%2fj.procs.2015.04.038&partnerID=40&md5=0eeb3271cfcbfdc378cc96a479174f52;"Automation testing; Automation testing framework; Selenium webdriver; Web applications";"Application programs; Automation; Selenium; Social networking (online); World Wide Web; Automation testing; Automation tools; Human intervention; Software systems; Test case; Test reports; WEB application; Web-based applications; Big data";Elsevier B.V.
Keyword driven automated testing framework for web application;Presently in software testing companies, 90% of software testing is carried out manually which takes lots of time, and also need large number of employees which not only increase the cost of the Software but also takes more time for completion. Therefore, software testing companies are moving towards automated testing and there is a need to develop a testing framework which is application independent and scalable with the increased requirements of each application. An automated testing framework has been proposed here for testing web applications. The proposed framework is based on keyword driven framework in which a excel file containing the keywords is imported to the framework by using selenium WebDriver API. © 2014 IEEE.;Aiya K.V., Verma H.;2015;9th International Conference on Industrial and Information Systems, ICIIS 2014;;;7036478;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924280658&doi=10.1109%2fICIINFS.2014.7036478&partnerID=40&md5=996e8b7f051394c3449fa2c93a700473;"Automated testing framework; Keyword driven framework; Selenium WebDriver; Software testing";"Application programs; Automation; Automated testing; Keyword driven; Testing framework; WEB application; Software testing";Institute of Electrical and Electronics Engineers Inc.
Using free and open source tools to manage software quality;Experts share their views on the use of free and open source tools to manage software quality. One of the first tasks for a project team is to set up a source code control framework. It is critical to maintain a central area for the team to check in code and have it backed up regularly. The tests are executed in Firefox and recorded via the Selenium IDE. The tests are then saved on the server side. A single file to list all the individual test cases to be executed as part of a test suite is created.;Dowling P., McGrath K.;2015;Communications of the ACM;58;7;;51;55;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934765947&doi=10.1145%2f2755503&partnerID=40&md5=d092494d4a86daf9556fdde79bac51f0;;"Computer software selection and evaluation; Open systems; Check-in; Control framework; Open source tools; Project team; Server sides; Software Quality; Source codes; Test case; Open source software";Association for Computing Machinery
Automation of weblink validation using a generic & reusable automation framework;Success of any web application depends on the smooth functionality of the application without any intervention. A web application containing broken web links can create problem and dissatisfaction among the users. Now it becomes obligatory for the organization to perform validation of the weblinks present in their application. This paper provides a generic and reusable automation framework to perform weblink validation. Selenium is used to support the feature of cross browser testing. © 2015 IEEE.;Goel L., Majumdar R.;2015;Conference Proceeding - 2015 International Conference on Advances in Computer Engineering and Applications, ICACEA 2015;;;7164745;440;443;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947996642&doi=10.1109%2fICACEA.2015.7164745&partnerID=40&md5=703de954662970cbfda0259b6e111c24;"Cross browser testing; webLink validation";"Automation; WEB application; Web links; webLink validation; Computer software reusability";Institute of Electrical and Electronics Engineers Inc.
Semantics-based automated web testing;We present TAO, a software testing tool performing automated test and oracle generation based on a semantic approach. TAO entangles grammar-based test generation with automated semantics evaluation using a denotational semantics framework. We show how TAO can be incorporated with the Selenium automation tool for automated web testing, and how TAO can be further extended to support automated delta debugging, where a failing web test script can be systematically reduced based on grammar-directed strategies. A real-life parking website is adopted throughout the paper to demonstrate the effectivity of our semantics-based web testing approach.;Guo H.-F., Ouyang Q., Siy H.;2015;Electronic Proceedings in Theoretical Computer Science, EPTCS;188;;;59;74;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954484246&doi=10.4204%2fEPTCS.188.7&partnerID=40&md5=a9d3504438f294b3207f6c4603f13890;;"Automation; Semantics; Software testing; Specifications; Websites; World Wide Web; Automated test; Automation tools; Delta debugging; Denotational semantics; Semantic approach; Test generations; Test scripts; Web testing; Semantic Web";Open Publishing Association
Highly automated agile testing process: An industrial case study;This paper presents a description of an agile testing process in a medium size software project that is developed using Scrum. The research methods used is the case study were as follows: surveys, quantifiable project data sources and qualitative project members opinions were used for data collection. Challenges related to the testing process regarding a complex project environment and unscheduled releases were identified. Based on the obtained results, we concluded that the described approach addresses well the aforementioned issues. Therefore, recommendations were made with regard to the employed principles of agility, specifically: continuous integration, responding to change, test automation and test driven development. Furthermore, an efficient testing environment that combines a number of test frameworks (e.g. JUnit, Selenium, Jersey Test) with custom-developed simulators is presented.;Berłowski J., Chrusciel P., Kasprzyk M., Konaniec I., Jureczko M.;2016;E-Informatica Software Engineering Journal;10;1;;69;87;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994060568&doi=10.5277%2fe-Inf160104&partnerID=40&md5=083f94f0e5d8fb8f59cb63053f34124c;"Agile software development; Case study; Software engineering; Testing process";"Software design; Software engineering; Agile software development; Complex projects; Continuous integrations; Industrial case study; Software project; Test driven development; Testing environment; Testing process; Software testing";Politechnika Wroclawska
On building test automation system for mobile applications using GUI ripping;With the rapid advance of mobile computing technology and wireless networking, there is a significant increase of mobile subscriptions. This brings new business requirements and demands in mobile software testing, and causes new issues and challenges in mobile testing and automation. Current existing mobile application testing tools mostly concentrate on GUI, load and performance testing which seldom consider large-scale concurrent automation, coverage analysis, fault tolerance and usage of well-defined models. This paper introduces an implemented system that provides an automation solution across platforms on diverse devices using GUI ripping test scripting technique. Through incorporating open source technologies such as Appium and Selenium Grid, this paper addresses the scalable test automation control with the capability of fault tolerant. Additionally, maximum test coverage can also be obtained by executing parallel test scripts within the model. Finally, the paper reports case studies to indicate the feasibility and effectiveness of the proposed approach.;Tao C., Gao J.;2016;Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE;2016-January;;;480;485;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988358022&doi=10.18293%2fSEKE2016-168&partnerID=40&md5=00aed5e24fdf96cee6de18b3ede0dc8f;"GUI ripping; Large-scale concurrent testing; Mobile application testing; Test automation";"Automation; Fault tolerance; Graphical user interfaces; Knowledge engineering; Load testing; Mobile computing; Mobile telecommunication systems; Open source software; Software engineering; Automation solutions; Business requirement; Concurrent testing; Issues and challenges; Mobile application testing; Mobile computing technology; Open-source technology; Test Automation; Software testing";Knowledge Systems Institute Graduate School
End to end specification based test generation of web applications;Using formal specifications to generate test cases presents great potential for automation in testing and enhancing the quality of test cases. However, an important challenge in this direction is the design specifications which are at a more abstract level than the implementation, with many important implementation level details missing. To generate executable test cases, these implementation details must be included at some stage. Though there has been a lot of work in test generation from specification, all the existing methods suffer from this problem: either the test cases are not executable, or the process involves a non-trivial, manual step of translating the abstract test cases to concrete test cases. In this work, we present an approach of specification based test generation for web applications that overcomes the above challenge: test generation is completely automated and the test cases are fully executable on a test execution framework (e.g. Selenium RC). Further, our methodology allows generation of multiple sets of concrete test cases from the the same formal specification. This makes it possible to use the same abstract specification to generate test cases for a number of versions of the system. Throughout the paper, a case study of Learning Management System is used to illustrate our approach. Copyright © 2016 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.;Bubna K.;2016;ENASE 2016 - Proceedings of the 11th International Conference on Evaluation of Novel Software Approaches to Software Engineering;;;;296;302;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979543865&doi=10.5220%2f0005919102960302&partnerID=40&md5=7b7dd73c3cb6a3d291da847a965a7198;"Model checking; Selenium; Statechart; Web applications";"Concretes; Formal specification; Model checking; Selenium; Testing; Abstract levels; Abstract specifications; Design specification; Learning management system; State charts; Test execution framework; Test generations; WEB application; Concrete testing";SciTePress
A lightweight semi-automated acceptance test-driven development approach for web applications;Applying Acceptance Test Driven Development (ATDD) in the context of web applications is a difficult task due to the intricateness of existing tools/frameworks and, more in general, of the proposed approaches. In this work, we present a simple approach for developing web applications in ATDD mode, based on the usage of Screen Mockups and Selenium IDE. © Springer International Publishing Switzerland 2016.;Clerissi D., Leotta M., Reggio G., Ricca F.;2016;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);9671;;;593;597;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977582826&doi=10.1007%2f978-3-319-38791-8_55&partnerID=40&md5=259362b8798a0a185f06fbac69c47eba;;"World Wide Web; Simple approach; Test driven development; WEB application; Acceptance tests";Springer Verlag
ACT (Abstract to Concrete Tests) - A tool for generating Concrete test cases from Formal Specification of Web Applications;As web applications are becoming more and more ubiquitous, modeling and testing web applications correctly is becoming necessary. In this paper, we have used a formal specification language, State chart to model the navigation behaviour aspect of web applications. This paper presents the ACT (Abstract to Concrete Tests) tool, an approach of generating concrete executable Selenium RC JUnit test cases from a formal State chart specification model. The ACT tool can generate concrete Selenium RC JUnit test cases from abstract test cases by utilizing data shared across different interactions of the web application with the web server. Throughout the paper, a case study of Learning Management System is used to illustrate our approach. Copyright © 2016 for the individual papers by the papers' authors.;Bubna K., Chakrabarti S.K.;2016;CEUR Workshop Proceedings;1561;;;16;22;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964543868&partnerID=40&md5=e2184a40cf3f22adc5d0b8cfaf19046a;;"Concretes; Navigation charts; Selenium; Software engineering; Specification languages; Specifications; Testing; World Wide Web; Learning management system; Specification modeling; State charts; Test case; WEB application; Web servers; Formal specification";CEUR-WS
