Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords,Index Keywords,Publisher
"Mansour W., Velazco R., El Falou W., Ziade H., Ayoubi R.","SEU simulation by fault injection in PSoC device: Preliminary results",2012,"2012 2nd International Conference on Advances in Computational Tools for Engineering Applications, ACTEA 2012",,,"6462894","330","333",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874706706&doi=10.1109%2fICTEA.2012.6462894&partnerID=40&md5=864f29b5ea75b61db4cd0be193cff4ba","In this paper the consequences of SEU (Single Event Upset) faults on System on Chip devices (SOC) are studied. A PSOC microcontroller CY8C27643 manufactured by Cypress was chosen as a test vehicle. Fault injection sessions were performed using the so-called (Code Emulated Upset) approach in two different HW/SW environments. Obtained results put in evidence the potentially critical consequences of some of the faults occurring in the digital blocks when a matrix multiplication benchmark is being executed. © 2012 IEEE.","Code Emulated Upset (CEU); fault injection; PSOC; Single Event Effects (SEU); System On Chip (SOC)","Code Emulated Upset (CEU); Fault injection; PSOC; Single event effects; System on chips; Computational methods; Automobile manufacture",
"Lv W., Song K., Yang J., Cao P., Dong L.","Implementation of High-Speed USB interface in Data Acquisition System for KTX",2012,"2012 18th IEEE-NPSS Real Time Conference, RT 2012",,,"6418156","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874258370&doi=10.1109%2fRTC.2012.6418156&partnerID=40&md5=76d05e65f697465a805153adedadc1ef","In this paper, a High-Speed USB implementation in the Data Acquisition Unit intended for a Reversed Field Pinch (RFP) experiment device Keda Torus eXperiment (KTX) is presented. An ultra-large amount of data transfer is a key problem in Data Acquisition System for KTX. A prototype of KTX with 64 channels was designed, sample rate of which is 16ksps and data length 24bits. High-Speed USB interface implemented in our design assure fast enough data transmission between the Data Acquisition Unit and Workstation. The CY7C68013 chip of CYPRESS Company was used as the USB interface controller. The software was developed on workstation for testing. Transmission speed is tested based on the prototype, and we find that the stable speed of USB2.0 transmission can achieve 123Mbps. © 2012 IEEE.",,"Data acquisition system; Data length; Data-acquisition units; Reversed field pinch; Sample rate; Transmission speed; USB interface; Data acquisition; Data communication systems; Data transfer; Experiments; Software testing",
"Mazooji A., Kancharla M.R., Das A., Purushothaman B., Srinivasa L.N.","Browser level performance: Automation and best practices",2013,"Annual International Conference of the Computer Measurement Group, CMG 2013","2",,,"1058","1069",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899883440&partnerID=40&md5=96a5363822dd82e5251379e193fc1eaf","The performance world has long been concerned with the speed and scalability of their IT infrastructure in relation to user experience. Traditional load testing applications all provide great benefits in testing and tuning your application infrastructure for optimal performance. However, with the emergence of web 2.0 and more interactive web applications, these traditional performance testing tools struggle to provide an accurate representation of your application's performance from the end-user's perspective. Client side performance is often a field which falls somewhere between the development, functional and performance organizations and is often neglected. This paper will present some best practices for ensuring better perceived application performance from the end users perspective, and an approach to using client side measurement tools in conjunction with the Selenium automation software to monitor and track your application's performance from the end-user's perspective.",,"Application programs; Tools; World Wide Web; Application performance; Automation software; Interactive web applications; IT infrastructures; Measurement tools; Optimal performance; Performance testing; User experience; Measurements","Computer Measurement Group Inc"
"Leotta M., Clerissi D., Ricca F., Tonella P.","Capture-replay vs. programmable web testing: An empirical assessment during test case evolution",2013,"Proceedings - Working Conference on Reverse Engineering, WCRE",,,"06671302","272","281",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893430681&doi=10.1109%2fWCRE.2013.6671302&partnerID=40&md5=2b805d8ab73a03098f395051e37e5826","There are several approaches for automated functional web testing and the choice among them depends on a number of factors, including the tools used for web testing and the costs associated with their adoption. In this paper, we present an empirical cost/benefit analysis of two different categories of automated functional web testing approaches: (1) capture-replay web testing (in particular, using Selenium IDE); and, (2) programmable web testing (using Selenium WebDriver). On a set of six web applications, we evaluated the costs of applying these testing approaches both when developing the initial test suites from scratch and when the test suites are maintained, upon the release of a new software version. Results indicate that, on the one hand, the development of the test suites is more expensive in terms of time required (between 32% and 112%) when the programmable web testing approach is adopted, but on the other hand, test suite maintenance is less expensive when this approach is used (with a saving between 16% and 51%). We found that, in the majority of the cases, after a small number of releases (from one to three), the cumulative cost of programmable web testing becomes lower than the cost involved with capture-replay web testing and the cost saving gets amplified over the successive releases. © 2013 IEEE.","Empirical Study; Selenium IDE; Selenium WebDriver; Test Case Evolution; Test Case Repair","Application programs; Cost benefit analysis; Costs; Integrodifferential equations; Reverse engineering; Selenium; Testing; Web crawler; Cumulative cost; Empirical assessment; Empirical studies; Number of factors; Software versions; Test case; Test case evolutions; WEB application; Software testing","IEEE Computer Society"
"Le Breton G., Maronnaud F., Hallé S.","Automated exploration and analysis of ajax web applications with webmole",2013,"WWW 2013 Companion - Proceedings of the 22nd International Conference on World Wide Web",,,,"245","248",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893095379&doi=10.1145%2f2487788.2487913&partnerID=40&md5=a8ce1dfe2642a436069fa5aeac0ab258","WebMole is a browser-based tool that automatically and exhaustively explores all pages inside a web application. Contrarily to classical web crawlers, which only explore pages accessible through regular <a> anchors,WebMole can find its way through Ajax applications that use JavaScript-triggered links, and handles state changes that do not involve a page reload. User-defined functions called oracles can be used to bound the range of pages explored by WebMole to specific parts of an application, as well as to evaluate Boolean test conditions on all visited pages. Overall, WebMole can prove a more flexible alternative to automated testing suites such as Selenium WebDriver.","Navigation; Reverse engineering; Web applications","Navigation; Reverse engineering; World Wide Web; Automated testing; Boolean tests; Javascript; User Defined Functions; WEB application; Web crawler","Association for Computing Machinery"
"Zhou X., Wang W., Yu S., Zhou Y.","Interactive effects of selenium and mercury on their uptake by rice sedlings",2013,"Research Journal of Applied Sciences, Engineering and Technology","5","19",,"4733","4739",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877356724&doi=10.19026%2frjaset.5.4311&partnerID=40&md5=1cf8f87fb9e58d96db188d1b6cd07dd8","In this study, a new modeling method based on metasynthesis is proposed from the macro and micro levels. And the system analysis and design agent-oriented based on POMDP are provided in the same time. Finally, the two case studies are given and the experimental results have shown efficiency and rationality of this modeling method. Under greenhouse conditions, rice was taken as test object and the interactive effects of selenium and mercury in rice seedlings grown in solution culture were researched by the use of quadratic-orthogonal-rotation-combination design. The results showed that low mercury concentration (<30 μg/L) promoted selenium absorption in rice roots and shoots, which may be associated with selenium's favorable effect on plant. Higher mercury concentration (>30 μg/ L) reduced selenium accumulation in rice roots and stems, as well as the transfer of selenium to the rice shoot. When the mercury concentration was fixed at 100 μg/L, Se in the growth medium significantly reduced Hg accumulation in the roots and the effect of Se on Hg accumulation in shoots displayed a similar pattern. However, with the increase of selenium concentration of the solution, the Hg transfer coefficient from the root to the shoot remained unchanged. © Maxwell Scientific Organization, 2013.","Interaction; Mercury; Rice; Selenium",,"Maxwell Science Publications"
"Naresh V., Venkataramani B., Karan A., Manikandan J.","PSoC based isolated speech recognition system",2013,"International Conference on Communication and Signal Processing, ICCSP 2013 - Proceedings",,,"6577144","693","697",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883444563&doi=10.1109%2ficcsp.2013.6577144&partnerID=40&md5=fb8ef0a268a4c317e22befe14ea76e82","Isolated Speech recognition systems (ISRS) have been implemented using microprocessors, digital signal processors and FPGAs and have been reported in the literature. In this paper, the study and implementation of an ISRS using Cypress Programmable System on Chip (PSoC) is presented. For the implementation, PSoC5 containing the ARM Cortex-M3 CPU is used. Recognition performance is studied using three feature extraction techniques (Zero crossing, Zero crossing with end point detection and Zero crossing with end point detection and Cochlear filter) and minimum distance classifier. The ISRS is trained and tested using 10 utterances of three words. The performance is evaluated for utterances by both single speaker and multiple speaker. From this study, it is found that the system using the Zero crossing with end point detection and Cochlear filter gives the highest recognition accuracy of 80%and 70% respectively for the utterances by single speaker and multiple speakers. Higher recognition accuracy can be obtained using more robust feature extraction and classification techniques at the cost of increase in the computation complexity and storage space. The proposed ISRS has applications in voice operated robots, appliances and access control systems. © 2013 IEEE.","Cochlear filter; EPD; PSoC; Speech Recognition; ZCP","Cochlear filter; EPD; Feature extraction techniques; Isolated speech recognition; Minimum distance classifiers; Programmable system on chips; PSoC; ZCP; ARM processors; Communication; Feature extraction; Signal processing; Speech recognition",
"Leotta M., Clerissi D., Ricca F., Spadaro C.","Repairing selenium test cases: An industrial case study about web page element localization",2013,"Proceedings - IEEE 6th International Conference on Software Testing, Verification and Validation, ICST 2013",,,"6569767","487","488",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883318945&doi=10.1109%2fICST.2013.73&partnerID=40&md5=81111238132cdfd98b4ee2204d71eb24","This poster presents an industrial case study about test automation and test suite maintenance in the context of Web applications. The Web application under test is a Learning Content Management System (eXact learning LCMS). We analysed the costs associated with the realignment of four equivalent Selenium WebDriver test suites, implemented using the page object pattern and different methods to locate web page elements, to a subsequent release of eXact learning LCMS. In our study, the two ID-based test suites required significantly less maintenance effort than the XPath-based ones. © 2013 IEEE.","Selenium WebDriver; Test Automation; Test Suite Maintainability; Web Application Testing","Exact learning; Industrial case study; Learning content management system; Maintenance efforts; Object patterns; Test Automation; WEB application; Web application testing; Industrial applications; Repair; Selenium; Software testing; Websites; Testing",
"Leotta M., Clerissi D., Ricca F., Spadaro C.","Improving test suites maintainability with the page object pattern: An industrial case study",2013,"Proceedings - IEEE 6th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2013",,,"6571616","108","113",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883315834&doi=10.1109%2fICSTW.2013.19&partnerID=40&md5=3d9a669e8c5f8c18023f4d24972cd0fb","The page object pattern is used in the context of web testing for abstracting the application's web pages in order to reduce the coupling between test cases and application under test. This paper reports on an industrial case study in a small Italian company (eXact learning solutions S.p.A.) investigating the potential benefits of adopting the page object pattern to improve the maintainability of Selenium Web Driver test cases. After a maintenance/evolution activity performed on the application under test, we compared two equivalent test suites, one built using the page object pattern and one without it. The results of our case study indicate a strong reduction in terms of time required (by a factor of about three) and number of modified LOCs (by a factor of about eight) to repair the test suite when the page object pattern is used. © 2013 IEEE.","Page Object Pattern; Selenium WebDriver; Test Automation; Test Suite Maintainability; Web Application Testing","Application under tests; Exact learning; Industrial case study; Italian companies; Object patterns; Potential benefits; Test Automation; Web application testing; Industrial applications; Maintainability; Repair; Selenium; Software testing; Testing",
"De Castro A.M.F.V., Macedo G.A., Collins E.F., Dias-Neto A.C.","Extension of Selenium RC tool to perform automated testing with databases in web applications",2013,"2013 8th International Workshop on Automation of Software Test, AST 2013 - Proceedings",,,"6595803","125","131",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885001936&doi=10.1109%2fIWAST.2013.6595803&partnerID=40&md5=b0e6432b1c7ffe1c78f2d2e4495380ea","This paper presents one extension of the Selenium RC tool to perform tests in web applications that require checking data in databases. This verification is performed using new functions implemented into the Selenium framework's core. These functions allow opening and closing database connection and comparing test data with data stored in the database used by the web application. This solution aims to contribute to the system quality by reducing the effort during the testing process, since the verification of UI and database elements will be performed at the same time during execution of the test scripts. A case study is described to analyze the impact of the proposed tool in terms of effort and rate of automation in the development of a new web application project. The results suggest a significant reduction (92% and 88%) in the effort to execute automated tests in database when compared to, respectively, manual and semiautomated execution. © 2013 IEEE.","Database Testing; Functional Testing; Selenium RC; Software Testing; Test Automation","Automated test; Automated testing; Database connections; Database testing; Functional testing; Test Automation; Testing process; WEB application; Applications; Automation; Database systems; Selenium; Testing; Tools; World Wide Web; Software testing",
"Chen R., Miao H.","A Selenium based approach to automatic test script generation for refactoring JavaScript code",2013,"2013 IEEE/ACIS 12th International Conference on Computer and Information Science, ICIS 2013 - Proceedings",,,"6607864","341","346",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886493766&doi=10.1109%2fICIS.2013.6607864&partnerID=40&md5=502f84195429bfc17fe463e1f1919800","During the development process of Web application, two essential phases are software testing and code refactoring. However, automatic testing script plays an important role in test automation. It has been a hot research topic in Web application. In order to refactor the JavaScript code of Web application more conveniently, an approach to automatic script generation from the defined test case is introduced in this paper. First, it describes the test case using customized XML format. Then, since Selenium platform supports multi-browsers testing, a method to transform XML description into test scripts based on Selenium framework is proposed as the emphasis. © 2013 IEEE.","JavaScript Refactoring; Selenium; The Framework of Script Automatic Generation; XML Schema","Automatic Generation; Code re-factoring; Development process; Hot research topics; Refactorings; Script generation; XML description; XML schemas; Applications; Automatic testing; High level languages; Information science; Software testing; World Wide Web; XML; Selenium",
"Mandal K.C., Mehta A., Chaudhuri S.K., Cui Y., Groza M., Burger A.","Characterization of amorphous selenium alloy detectors for x-rays and high energy nuclear radiation detection",2013,"Proceedings of SPIE - The International Society for Optical Engineering","8852",,"88521O","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886994116&doi=10.1117%2f12.2027139&partnerID=40&md5=c9de6c0d86943ef7810047a464eb8acd","Synthesized amorphous selenium (a-Se) alloy materials have been characterized for room temperature high-energy nuclear radiation detector and x-ray detection applications. The alloy composition has been optimized to ensure good charge transport properties and detector performance. The synthesis of a-Se (As, Cl) alloys has been carried out by thoroughly mixing zone-refined (ZR) Se (∼7N) with previously synthesized a-Se(As) and a-Se(Cl) master alloys (MS). The synthesized alloys have been characterized by x-ray diffraction (XRD), glow discharge mass spectroscopy (GDMS), differential scanning calorimetry (DSC), x-ray photoelectron spectroscopy (XPS), and current-voltage (I-V) characteristics measurements. Raman spectroscopy demonstrated that the a-Se(As) master alloy samples were in metastable monoclinic Se8 states, in which seven vibrational modes are located at 40(41), 59(60), 77, 110, 133, 227(228) and 251(252) cm-1. However, a-Se(Cl) master alloy samples are in stable form of trigonal structure of Se8 ring, in which two modes at 142 and 234 cm-1 were found. Both Raman and energy dispersive spectroscopy (EDS) exhibited that a small amount of tellurium (Te) existed in a-Se (As, Cl) master alloy samples. DSC measurements showed that a-Se (Cl) MS and a-Se (As) MS samples have one melting point, located at ∼219.6oC, whereas a-Se-As (0.52%)-Cl and Se- As(10.2%)-Cl(60 ppm) both possess two melting points, located at 221 and 220.3oC respectively. The a-Se alloy plate detectors have been fabricated and tested and the results showed high dark resistivity (1012 - 1013 Ω-cm) with good charge transport properties and cost-effective large-area scalability. © 2013 SPIE.","alpha detectors; amorphous selenium alloys; medical imaging devices; neutron detectors; zone refining","Alpha detector; Amorphous selenium; Detector performance; Energy dispersive spectroscopies (EDS); Glow discharge mass spectroscopies; Nuclear radiation detectors; Nuclear radiations; Trigonal structures; Alloys; Amorphous alloys; Amorphous materials; Differential scanning calorimetry; Energy dispersive spectroscopy; Gamma rays; Medical imaging; Melting point; Neutron detectors; Nuclear radiation spectroscopy; Photoelectrons; Selenium; Tellurium compounds; Transport properties; X ray diffraction; X ray photoelectron spectroscopy; X rays; Zone melting; Detectors",
