Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords,Index Keywords,Publisher
"Puri-Jobi S.","Test automation for NFC ICs using Jenkins and NUnit",2015,"2015 IEEE 8th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2015 - Proceedings",,,"7107414","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934344195&doi=10.1109%2fICSTW.2015.7107414&partnerID=40&md5=390fde48f8a4b6ae69472826d46dfbfc","This article gives a detailed overview of the setup of a test environment which is used for Near Field Communication (NFC) Integrated Circuits (ICs) at ams AG. The test environment is used for the verification and validation of the NFC ICs, as well as for pre-certification test runs, and is useable in two ways: (1) manual execution for every developer to be able to run tests on their desk before committing code changes and to reproduce failing test cases and (2) automated execution which is necessary for the Continuous Integration (CI) approach which is followed during development and to ensure that all tests are run against the Device Under Test (DUT). First a description of the system which shall be tested is given. Afterwards the used tools and methods to execute the various test benches are discussed. The hurdles which showed up during the process of setting up the environment for manual as well as automated execution are explained and the used solution is discussed. © 2015 IEEE.","Jenkins; NFC; NUnit; test automation","Automation; Design for testability; Integrated circuits; Near field communication; Timing circuits; Verification; Certification tests; Continuous integrations; Integrated circuits (ICs); Jenkins; NUnit; Test Automation; The near field communication (NFC); Verification-and-validation; Software testing","Institute of Electrical and Electronics Engineers Inc."
"Cordemans P., Steegmans E., Boydens J.","Deterministically testing actor-based concurrent software",2015,"6th International Workshop on Automating Test Case Design, Selection and Evaluation, A-TEST 2015 - Proceedings",,,,"26","30",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960430772&doi=10.1145%2f2804322.2804327&partnerID=40&md5=40d51cd8eb143030f75e70be64cc786d","Non-deterministic concurrent behavior of software prohibits the idempotent property of tests. XUnit frameworks tra- ditionally do not offer support to deal with these concur- rency issues which reduces the significance of unit testing concurrent software. In this paper we propose a tool which supports deterministic testing of concurrent software based on the Actor model. This tool reveals race conditions and seamlessly integrates with xUnit-like frameworks. In our approach, a Coloured Petri Net model is constructed per test as well as the code under test. This model allows iso- lation of concurrent behavior from the effective actor state. Subsequently, the state space is calculated and traces cov- ering all states are constructed. Corresponding with these traces our tool issues test runs, guaranteeing full state space coverage of each test. Moreover, each failed trace can be backtracked, revealing valuable information concerning the race condition. © 2015 ACM.","Actor model; Concurrent software; Deterministic testing","Hazards and race conditions; Petri nets; Actor models; Coloured Petri Nets; Concurrent behavior; Concurrent software; Idempotent; Information concerning; Test runs; Unit testing; Software testing","Association for Computing Machinery, Inc"
"Zhu H.","JFuzz: A Tool for Automated Java Unit Testing Based on Data Mutation and Metamorphic Testing Methods",2015,"Proceedings - 2nd International Conference on Trustworthy Systems and Their Applications, TSA 2015",,,"7335953","8","15",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961833432&doi=10.1109%2fTSA.2015.13&partnerID=40&md5=2c2cfc32f35712c19fc03ce7f82487d6","Automated test framework plays a significant role in test driven software development methodologies. The XUnit family of testing tools has been widely used in the industry. However, they are weak in supporting test case generation and test result checking. In this paper we propose a new kind of test automation framework by integrating data mutation testing and metamorphic testing methods. A tool for unit testing of Java class called JFuzz is presented. Its uses are illustrated by examples. © 2015 IEEE.","data mutation testing; fuzz testing; metamorphic testing; software testing; test automation framework; test driven development; test tools; unit test","Automation; Integration testing; Software design; Software engineering; Testing; Data mutation; Fuzz Testing; Metamorphic testing; Test automation frameworks; Test driven development; Test tools; Unit tests; Software testing","Institute of Electrical and Electronics Engineers Inc."
"Ramler R., Moser M., Pichler J.","Automated static analysis of unit test code",2016,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering, SANER 2016","2016-January",,,"25","28",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045458018&doi=10.1109%2fSANER.2016.102&partnerID=40&md5=352706f6aa563b5f30f480d0b49e1fde","Automated unit tests are an essential software quality assurance measure that is widely used in practice. In many projects, thus, large volumes of test code have co-evolved with the production code throughout development. Like any other code, test code too may contain faults, affecting the effectiveness, reliability and usefulness of the tests. Furthermore, throughout the software system's ongoing development and maintenance phase, the test code too has to be constantly adapted and maintained. To support detecting problems in test code and improving its quality, we implemented 42 static checks for analyzing JUnit tests. These checks encompass best practices for writing unit tests, common issues observed in using xUnit frameworks, and our experiences collected from several years of providing trainings and reviews of test code for industry and in teaching. The checks can be run using the open source analysis tool PMD. In addition to a description of the implemented checks and their rationale, we demonstrate the applicability of using static analysis for test code by analyzing the unit tests of the open source project JFreeChart. © 2016 IEEE","Static analysis; Test code; Unit testing","Codes (symbols); Computer software selection and evaluation; Open source software; Open systems; Quality assurance; Software testing; Testing; Assurance measures; Automated units; Best practices; Large volumes; Software quality assurance; Software-systems; Test code; Unit testing; Unit tests; Writing units; Static analysis","Institute of Electrical and Electronics Engineers Inc."
"Zougari S., Tanana M., Lyhyaoui A.","Towards an automatic assessment system in introductory programming courses",2016,"Proceedings of 2016 International Conference on Electrical and Information Technologies, ICEIT 2016",,,"7519649","496","499",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992212895&doi=10.1109%2fEITech.2016.7519649&partnerID=40&md5=1725a019151b8ba2ce3185d892805dfa","Nowadays, automatic assessment of programming assignments has become an important topic in academic research. In fact, the increasing number of enrolled students in programming courses created the need of a system providing immediate feedback to the learners and saving teachers from manually managing all the students' solutions. This paper presents an attempt to conduct programming exercises assessment both dynamically and statically to ensure a reliable and objective evaluation job. While dynamic analysis is based on xUnit framework, the static analysis is performed on the graph representation of the programs. © 2016 IEEE.","computer aided assessment; graph representation; programming assessment","Computer programming; Education; Teaching; Automatic assessment; Computer-aided assessment; Graph representation; Immediate feedbacks; Introductory programming course; Objective evaluation; Programming assignments; Programming exercise; Static analysis","Institute of Electrical and Electronics Engineers Inc."
"López-Fernández J.J., Guerra E., de Lara J.","Combining unit and specification-based testing for meta-model validation and verification",2016,"Information Systems","62",,,"104","135",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994525407&doi=10.1016%2fj.is.2016.06.008&partnerID=40&md5=7772fd714a0e7e19439e5c522439e791","Meta-models play a cornerstone role in Model-Driven Engineering as they are used to define the abstract syntax of modelling languages, and so models and all sorts of model transformations depend on them. However, there are scarce tools and methods supporting their Validation and Verification (V&V), which are essential activities for the proper engineering of meta-models. In order to fill this gap, we propose two complementary meta-model V&V languages. The first one has similar philosophy to the xUnit framework, as it enables the definition of meta-model unit test suites comprising model fragments and assertions on their (in-)correctness. The second one is directed to express and verify expected properties of a meta-model, including domain and design properties, quality criteria and platform-specific requirements. As a proof of concept, we have developed tooling for both languages in the Eclipse platform, and illustrate its use within an example-driven approach for meta-model construction. The expressiveness of our languages is demonstrated by their application to build a library of meta-model quality issues, which has been evaluated over the ATL zoo of meta-models and some OMG specifications. The results show that integrated support for meta-model V&V (as the one we propose here) is urgently needed in meta-modelling environments. © 2016 Elsevier Ltd","Domain-specific modelling languages; Meta-model quality; Meta-modelling; Model-driven engineering; Validation & verification","Software testing; Specifications; Domain-Specific Modelling Languages; Integrated supports; Meta model; Meta-modelling; Model transformation; Model-driven Engineering; Specification Based Testing; Validation and verification; Modeling languages","Elsevier Ltd"
"Gonzalez D., Santos J.C.S., Popovich A., Mirakhorli M., Nagappan M.","A Large-Scale Study on the Usage of Testing Patterns That Address Maintainability Attributes: Patterns for Ease of Modification, Diagnoses, and Comprehension",2017,"IEEE International Working Conference on Mining Software Repositories",,,"7962388","391","401",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026510051&doi=10.1109%2fMSR.2017.8&partnerID=40&md5=5e17bbdd3b0d41ca0e6141a97f266f93","Test case maintainability is an important concern, especially in open source and distributed development environments where projects typically have high contributor turn-over with varying backgrounds and experience, and where code ownership changes often. Similar to design patterns, patterns for unit testing promote maintainability quality attributes such as ease of diagnoses, modifiability, and comprehension. In this paper, we report the results of a large-scale study on the usage of four xUnit testing patterns which can be used to satisfy these maintainability attributes. This is a first-of-its-kind study which developed automated techniques to investigate these issues across 82,447 open source projects, and the findings provide more insight into testing practices in open source projects. Our results indicate that only 17% of projects had test cases, and from the 251 testing frameworks we studied, 93 of them were being used. We found 24% of projects with test files implemented patterns that could help with maintainability, while the remaining did not use these patterns. Multiple qualitative analyses indicate that usage of patterns was an ad-hoc decision by individual developers, rather than motivated by the characteristics of the project, and that developers sometimes used alternative techniques to address maintainability concerns. © 2017 IEEE.","Maintenance; Mining Software Repositories; Open Source; Unit Test Frameworks; Unit Test Patterns; Unit Testing","Maintainability; Maintenance; Open source software; Open systems; Testing; Automated techniques; Distributed development environments; Mining software repositories; Open source projects; Open sources; Qualitative analysis; Unit testing; Unit tests; Software testing","IEEE Computer Society"
"Burris J.W.","Test-driven development for parallel applications",2017,"Proceedings - 2017 2nd International Conference on Information Systems Engineering, ICISE 2017","2017-January",,,"27","31",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049250458&doi=10.1109%2fICISE.2017.20&partnerID=40&md5=e51b29f4fe98d318738c29f34680b403","This paper describes the use and benefits of the testdriven development paradigm in parallel application development. A brief background on test-driven development for traditional applications, techniques for parallel development, and the xUnit framework is given. This work then gives direction for using the given technologies for the development of parallel applications using the test-driven development process by mapping the functions of a parallel language to the functions of the testing framework as illustrated by a programming assignment given to college sophomores. © 2017 IEEE.","agile methodologies; parallel computing; test-driven development; unit testing","Information systems; Information use; Parallel processing systems; Agile Methodologies; Parallel application; Parallel development; Parallel languages; Programming assignments; Test driven development; Test driven development process; Unit testing; Systems engineering","Institute of Electrical and Electronics Engineers Inc."
"Vemula R.","Real-Time web application development: With ASP.NET core, SignalR, docker, and azure",2018,"Real-Time Web Application Development: With ASP.NET Core, SignalR, Docker, and Azure",,,,"1","598",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042424900&doi=10.1007%2f978-1-4842-3270-5&partnerID=40&md5=df41eedb9d23853a58658f1fca199cdb","Design, develop, and deploy a real-world web application by leveraging modern open source technologies. This book shows you how to use ASP.NET Core to build cross-platform web applications along with SignalR to enrich the application by enabling real-time communication between server and clients. You will use Docker to containerize your application, integrate with GitHub to package the application, and provide continuous deployment to Azure’s IaaS platform. Along the way, Real-Time Web Application Development covers topics including designing a Materialize CSS theme, using a test-driven development approach with xUnit.net, and securing your application with the OAuth 2.0 protocol. To further your understanding of the technology, you will learn logging and exception handling; navigation using view components; and how to work with forms and validations. The rich code samples from this book can be used to retrofit or upgrade existing ASP.NET Core applications. What You Will Learn Design and develop a real-world web application Implement security and data storage with OAuth2 and Azure Table StorageOrchestrate real-time notifications through SignalRUse GitHub and Travis CI for continuous integration of code Master Docker containerization and continuous deployment with Docker Cloud to Azure Linux virtual machines. Who This Book Is For Developers and software engineers interested in learning an end-to-end approach to application development using Microsoft technologies. © 2017 by Rami Vemula.",".Net; .Netcore; ASP.Net; Azure; Core; Docker; Realtime; Signalr; Webdev","Application programs; Computer operating systems; Containers; Digital storage; Open source software; .Net; .Netcore; ASP.NEt; Azure; Core; Docker; Real time; Signalr; Webdev; Web services","Apress Media LLC"
"Debroy V., Brimble L., Yost M., Erry A.","Automating Web Application Testing from the Ground Up: Experiences and Lessons Learned in an Industrial Setting",2018,"Proceedings - 2018 IEEE 11th International Conference on Software Testing, Verification and Validation, ICST 2018",,,,"354","362",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048453978&doi=10.1109%2fICST.2018.00042&partnerID=40&md5=ec31fbfde0ac7dd7dbeed5636d1bc145","Automating web application testing is a very tricky process due to inherent complexity, dynamic behavior(s) in web pages, differences in the way browsers render the same content (especially on different form factors), and so on. Yet manual testing is not a practical option, and such automation is a must in the interests of effectiveness and efficiency, because of the large number of browsers/devices that users can choose from, and also given the rapid software development cycles of today. This paper discusses our efforts at Varidesk to automate web tests against our main website-which offers many features and content, but is also a true eCommerce site where users from around the globe can purchase a very broad variety of active workspace solutions that we offer. Our solution was developed in-house, from the ground up, and leveraged and extended freely available automation and test libraries such as Selenium WebDriver and NUnit respectively. We talk about the challenges we faced and how we overcame them, as well as provide technical insights on real-world concerns such as managing test brittleness, and integrating the web tests into an existing Continuous Integration and Continuous Deployment (CI/CD) pipeline. Part of the novelty of this paper is that we are also transparent on the rationale behind our decision to build versus buy, and how we managed resources, especially in terms of cost. We also present lessons learned, and encouraged by the success that we have observed, hope that the results will be beneficial to academia and practitioners alike. © 2018 IEEE.","automation; industry experience; web application testing; web testing","Automation; Digital libraries; Fracture mechanics; Software design; Verification; Websites; Continuous integrations; Effectiveness and efficiencies; Industrial settings; Industry experience; Inherent complexity; Software development cycles; Web application testing; Web testing; Software testing","Institute of Electrical and Electronics Engineers Inc."
"Pires J.P., Brito E Abreu F.","Knowledge Discovery Metamodel-Based Unit Test Cases Generation",2018,"Proceedings - 2018 IEEE 11th International Conference on Software Testing, Verification and Validation, ICST 2018",,,,"432","433",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048435589&doi=10.1109%2fICST.2018.00056&partnerID=40&md5=447970ad7b89dd6b093bca2a149d5dcc","Existing unit test cases generative approaches are language-dependent. In this document we propose a novel approach, dubbed KDM2xUnit that will allow the generation of test suites matching the xUnit framework, using several transformations and Knowledge Discovery Metamodel (KDM) compliant models as a common intermediate representation for existing software systems and their operating environments. © 2018 IEEE.","KDM; Knowledge Discovery Metamodel; model-based testing; test cases generation; unit tests; xUnit","Model checking; Testing; Meta model; Model based testing; Test cases generation; Unit tests; xUnit; Software testing","Institute of Electrical and Electronics Engineers Inc."
